Brand, Product Name, Shipping
ASUS,ASUS GeForce GT 1030 2GB Phoenix Fan OC Edition HDMI DVI Graphics Card (PH-GT1030-O2G),Free Shipping
MSI,MSI GeForce GTX 1650 DirectX 12 GTX 1650 GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
MSI,MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Gaming X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,Free Shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SGAMING-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$79.99 Shipping

ASUS,ASUS ROG Strix GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-O8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$75.00 Shipping
MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti BiaoFeng 4GV1 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,$39.99 Shipping
GIGABYTE,GIGABYTE GeForce RTX 2060 DirectX 12 GV-N2060WF2OC-6GD R2 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$4.49 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SOC-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,Free Shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$7.00 Shipping
MSI,MSI GeForce GTX 1650 DirectX 12 GTX 1650 D6 VENTUS XS  OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
MSI,MSI GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS C 6G OCV1 6GB 192-Bit GDDR5 PCI Express 3.0 x16 Video Card,Free Shipping
MSI,MSI GeForce GT 1030 DirectX 12 GT 1030 2GH LP OC 2GB 64-Bit GDDR5 PCI Express 3.0 x16 (uses x4) HDCP Ready Low Profile Video Card,Special Shipping
MSI,MSI GeForce GTX 1070 DirectX 12 GTX 1070 GAMING X 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$45.00 Shipping
ASUS,ASUS Gaming GeForce GTX 1660 SUPER Overclocked 6GB Dual-fan Edition HDMI DP DVI Gaming Graphics Card (GTX1660S-O6G-GAMING),Free Shipping
MSI,MSI GeForce GTX 1660 DirectX 12 GTX 1660 SUPER VENTUS XS C OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 Video Card,Free Shipping
ASUS,ASUS TUF Gaming GeForce GTX 1650 TUF-GTX1650-O4GD6-P-GAMING 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$39.99 Shipping
ASUS,ASUS CERBERUS-GTX1050TI-A4G - Advanced Edition - graphics card - GF GTX 1050 Ti - 4 GB GDDR5 - PCIe 3.0 x16 - DVI| HDMI|,$39.99 Shipping
N/A,Yeston GT1030-4GD4 TA Gaming Graphic Card 2100MHZ Graphics Card frequency 4G/64bit /GDDR4 HDMI+DVI-D Output Ports GPU Boost 3.0 Desktop GPU Computer Video Card,Free Shipping
N/A,Yeston Nvidia GeForce GTX 1050 Ti Graphics Card(FAST SHIPPING 7-9 DAYS)| 4GB 128-Bit GDDR5 PCI Express 3.0 x16 | DVI-D/HDMI/DP Tri-Ports| G-Sync| GPU Boost| DirectX 12| Gaming GPU| Desktop Video Card,Free Shipping
ASUS,ASUS Turbo GeForce RTX™ 2060 6GB GDDR6 with the NVIDIA Turing™ GPU architecture,$75.00 Shipping
ZOTAC,ZOTAC GeForce GTX 1070 Ti AMP EXTREME 8GB GDDR5 256-bit Gaming Graphics Card,Free Shipping
NVIDIA,Nvidia AOC-GPU-NVK2-RL Grid K2 8GB GDDR5 PCI-Express Video Card BULK,Free Shipping
NVIDIA,New NVIDIA GRID K1 16GB PCI-E GPU Graphic Video Accelerator 699-52401-0502-221 UCSC-GPU-VGXK1,Free Shipping
N/A,Yeston Nvidia GeForce GT 1030 Graphics Card(FAST SHIPPING)| 4GB 64-Bit GDDR4 PCI Express 3.0 x 4| HDMI/DVI-D Dual Output Ports| DirectX 12| GPU Boost 3.0| OpenGL 4.6| Desktop GPU| Computer Video Card,Free Shipping
MSI,(use.d)   MSI Geforce GTX 1080 Ti 11GB Duke Graphics Card Nvidia GPU,Special Shipping
Corn Electronics,CORN GTX750 Graphic Card 1GB 128 Bit DDR5 DirectX 12 Video Card GPU PCI Express3.0 16X DVI/VGA/HDMI,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2060 GAMING OC PRO 6G Graphics Card| 3 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060GAMINGOC PRO-6GD Video Card,$45.00 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 Ti GAMING OC 6G Graphics Card| 3 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N166TGAMING OC-6GD Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 Ti MINI ITX OC 6G Graphics Card| Mini ITX Form Factor| 6GB 192-Bit GDDR6| GV-N166TIXOC-6GD Video Card,Free Shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
MSI,MSI GTX 1050 Ti 4 GT OC Computer Video Card MSI GTX 1050 TI 4GT OC,Free Shipping
MSI,MSI GeForce GTX 1650 DirectX 12 GTX 1650 VENTUS XS 4G OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
EVGA,EVGA 01G-P3-1556-KR GeForce GTX 550 Ti (Fermi) FPB 1GB 192-bit GDDR5 PCI Express 2.0 x16 HDCP Ready SLI Support Video Card,Free Shipping
ZOTAC,ZOTAC GeForce GTX 1060 Mini| ZT-P10600A-10L| 6GB GDDR5 Super Compact,Free Shipping
